reviewcontent,reviewtype,topcritic,genres,productioncompany,movieinfo_rottentomatoeslink_movietitle
"Isn't it amazing that a ""stoner comedy"" could be so profound?",Fresh,False,Comedy,Warner Bros. Pictures,"After the high-flying stoners (Kal Penn, John Cho) try to smuggle a bong aboard a flight to Amsterdam, the two find themselves in jail on charges of terrorism. After making an amazing escape, Harold and Kumar flee to Texas by way of Florida, where they hope to convince Harold's well-connected friend (Eric Winter) to help them out of their predicament. The problem is, Harold's pal is about to marry Kumar's ex-sweetie (Danneel Harris).m/harold_and_kumar_2Harold & Kumar Escape from Guantanamo Bay"
,Rotten,False,Comedy,Warner Bros. Pictures,"When a no-nonsense LAPD detective (Robert De Niro) is forced to star in a reality-based television show with a frustrated actor-turned-LAPD-patrolman (Eddie Murphy), they find their lives turned upside down by a powerhouse producer (Rene Russo) and her very intrusive camera crew.m/1113375-showtimeShowtime"
"I still wish David Wenham weren't the narrator, but everything else about the movie is a brutal kind of hypnotic that keeps me coming back.",Fresh,False,"Action & Adventure, Drama",Warner Bros. Pictures,"In 480 B.C. a state of war exists between Persia, led by King Xerxes (Rodrigo Santoro), and Greece. At the Battle of Thermopylae, Leonidas (Gerard Butler), king of the Greek city state of Sparta, leads his badly outnumbered warriors against the massive Persian army. Though certain death awaits the Spartans, their sacrifice inspires all of Greece to unite against their common enemy.m/300300"
A movie about fear that's not scary or surprising enough.,Rotten,False,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.m/10_cloverfield_lane10 Cloverfield Lane"
"It's great to see Clint still willing to crack gags and play to the gallery, but the trouble with Randy Brown's debut script is that it curves off target.",Rotten,False,Drama,Warner Bros. Pictures,"For decades Gus Lobel (Clint Eastwood) has been one of baseball's best scouts -- but now his age is catching up with him. Still, he refuses to be benched even though his bosses are questioning his judgment. Tasked with checking out the country's hottest batting prospect, Gus is forced to accept help from his daughter, Mickey (Amy Adams). Though they haven't spent time together in years, father and daughter make new discoveries about their shared past, which could change their future.m/trouble_with_the_curveTrouble with the Curve"
"A saccharine, but quite watchable British romantic drama with a goofy principal character",Fresh,False,Drama,Warner Bros. Pictures,"Young and quirky Louisa ""Lou"" Clark (Emilia Clarke) moves from one job to the next to help her family make ends meet. Her cheerful attitude is put to the test when she becomes a caregiver for Will Traynor (Sam Claflin), a wealthy young banker left paralyzed from an accident two years earlier. Will's cynical outlook starts to change when Louisa shows him that life is worth living. As their bond deepens, their lives and hearts change in ways neither one could have imagined.m/me_before_youMe Before You"
"Hoffman captures the writer in his complex, sometimes almost diabolically manipulative glory.",Fresh,False,Drama,Sony Pictures Classics,"Reading of the murder of a Kansas family, New York City novelist Truman Capote (Philip Seymour Hoffman) decides to cover the story himself, and travels to the small town with his childhood friend, aspiring novelist Harper Lee (Catherine Keener). When Perry Smith (Clifton Collins Jr.) and Dick Hickock (Mark Pellegrino) are arrested and charged, Capote forms an emotional bond with Smith during his jailhouse interviews despite the young criminal's apparent guilt.m/1151898-capoteCapote"
After sitting through this slickly violent clarion call for American political hawks to turn on the doves you might have thought that screenwriter Chuck Hogan was the right-wing spawn of Chuck Norris and Hulk Hogan.,Rotten,False,"Action & Adventure, Drama",Paramount Pictures,"On Sept. 11, 2012, Islamic militants attack the U.S. Consulate in Benghazi, Libya, killing Ambassador J. Christopher Stevens and Sean Smith, an officer for the Foreign Service. Stationed less than one mile away are members (James Badge Dale, John Krasinski, Max Martini) of the Annex Security Team, former soldiers assigned to protect operatives and diplomats in the city. As the assault rages on, the six men engage the combatants in a fierce firefight to save the lives of the remaining Americans.m/13_hours_the_secret_soldiers_of_benghazi13 Hours: The Secret Soldiers Of Benghazi"
"With its many tonal shifts and dangling subplots, J. Michael Straczynski's sprawling script is a problem. Jolie's performance is another.",Rotten,True,"Drama, Mystery & Suspense",Universal Pictures,"In 1928 Los Angeles, single mother Christine Collins (Angelina Jolie) arrives home to find her son, Walter, gone. Five months later her prayers are answered when Walter is found in Illinois. But to Christine's horror, the boy who steps off the train is not her son. Authorities vehemently dispute Christine's claim, and her one ally is a clergyman (John Malkovich) who sees the case as his chance to expose corruption in the Los Angeles Police Department and government.m/1191742_changelingChangeling"
"Boseman and Ford are outstanding in their roles. Boseman captures Robinson's inner struggle, while Ford delivers his best performance in a while.",Fresh,False,Drama,Warner Bros. Pictures,"In 1946, Branch Rickey (Harrison Ford), legendary manager of the Brooklyn Dodgers, defies major league baseball's notorious color barrier by signing Jackie Robinson (Chadwick Boseman) to the team. The heroic act puts both Rickey and Robinson in the firing line of the public, the press and other players. Facing open racism from all sides, Robinson demonstrates true courage and admirable restraint by not reacting in kind and lets his undeniable talent silence the critics for him.m/42_201342"
"Get Him To The Greek is not a masterpiece, but it's very entertaining for audiences who like their comedy raw.",Fresh,False,Comedy,Universal Pictures,"An ambitious executive at a record company, Aaron Green (Jonah Hill) gets what looks like an easy assignment: He must escort British rock legend Aldous Snow (Russell Brand) to L.A.'s Greek Theatre for the first stop on a lucrative comeback-concert tour. Snow, however, has different plans. Learning his true love is in California, the rocker vows to win her back before starting the tour, forcing Aaron to pull out all the stops to get Snow on stage in time.m/1212410-get_him_to_the_greekGet Him to the Greek"
"Marie Antoinette creates biography as much through its soundtrack, attitudes and its close-ups as it does through its action and dialogue.",Fresh,False,"Documentary, Drama",Sony Pictures,"An Austrian teenager (Kirsten Dunst) marries the Dauphin (Jason Schwartzman) of France and becomes that country's queen following the death of King Louis XV (Judy Davis) in 1774. Years later, after a life of luxury and privilege, Marie Antoinette loses her head during the French Revolution.m/1158195-marie_antoinetteMarie Antoinette"
One of the most emotional movies you will ever see in your life.,Fresh,False,Drama,Warner Bros. Pictures,"Oskar (Thomas Horn), who lost his father (Tom Hanks) in the 9/11 attack on the World Trade Center, is convinced that his dad left a final message for him somewhere in the city. Upon finding a mysterious key in his father's closet, Oskar sets out in search of the lock it fits. Feeling disconnected from his grieving mother (Sandra Bullock) and driven by a tirelessly active mind, Oskar has a journey of discovery that takes him beyond his loss and leads to a greater understanding of the world.m/extremely_loud_and_incredibly_closeExtremely Loud & Incredibly Close"
"An engaging, provocative and thought-provoking drama with an intelligent script and terrific performances from its ensemble cast",Fresh,False,Drama,Lions Gate Films,"Writer-director Paul Haggis interweaves several connected stories about race, class, family and gender in Los Angeles in the aftermath of 9/11. Characters include a district attorney (Brendan Fraser) and his casually prejudiced wife (Sandra Bullock), dating police detectives Graham (Don Cheadle) and Ria (Jennifer Esposito), a victimized Middle Eastern store owner and a wealthy African-American couple (Terrence Dashon Howard, Thandie Newton) humiliated by a racist traffic cop (Matt Dillon).m/1144992-crashCrash"
"Sometimes, a sad story isn't just a manipulative venture that makes you cry. Sometimes, as in 'The Notebook,' it's a tale well told that brings out honest emotions. Sometimes, it's in a movie such as 'My Sister's Keeper.'",Fresh,False,Drama,Warner Bros. Pictures,"Conceived as a marrow donor for her gravely ill sister, Anna Fitzgerald (Abigail Breslin) has undergone countless surgeries and medical procedures in her short life. Though their older daughter's life has no doubt been prolonged, the unorthodox decision of Anna's parents has cracked the entire family's foundation. When Anna sues her parents for emancipation, it sets off a court case that threatens to destroy the family for good.m/10010662-my_sisters_keeperMy Sister's Keeper"
